params

tradedate;tradetime;B1;B2;B3;T1;G1;G2;G3;G4;G5;G6;G7;G8;G9
23.01.2014;18:38:07;900,264995;-339,252781;64,708438;4,411640;7,119957;5,338063;-14,490167;-3,070715;1,751817;2,473504;0,558273;0,000000;0,000000
24.01.2014;18:39:07;911,957899;-342,401612;66,650092;4,471040;11,600210;9,338891;-15,229033;-6,562418;1,561885;2,951379;-0,573619;0,000000;0,000000
27.01.2014;18:39:32;915,316872;-346,194051;69,258378;4,377900;6,798736;4,181451;-14,681670;0,993626;5,480887;2,373005;-1,932659;0,000000;0,000000
28.01.2014;18:39:37;915,559682;-344,693832;68,560084;4,484256;10,493480;7,252872;-19,078784;-0,788430;4,097989;2,418580;-0,540840;0,000000;0,000000
29.01.2014;18:38:35;916,317338;-335,415566;70,939601;4,268841;10,795338;5,038959;-21,300502;1,557514;9,450170;2,034717;-2,963958;0,000000;0,000000
30.01.2014;18:39:32;909,995692;-311,320997;72,530056;4,030477;6,383912;10,351760;-15,903849;-1,717183;12,303718;0,866576;-6,072694;0,000000;0,000000
31.01.2014;18:39:46;895,435468;-307,615991;78,362415;3,436326;1,855661;5,804905;-12,929169;-1,896669;12,352485;2,684770;-5,053183;0,000000;0,000000
03.02.2014;18:39:31;871,476227;-295,173736;80,293208;2,919363;-0,504588;-2,037438;-1,869589;3,377041;4,115615;-1,629820;-2,499555;0,000000;0,000000
04.02.2014;18:39:50;860,142756;-289,358872;79,704578;2,927729;0,034035;-0,697998;-3,483387;1,734780;4,600941;-3,306614;-0,852651;0,000000;0,000000
05.02.2014;18:39:23;855,563126;-287,976083;77,877117;3,090171;1,568021;2,501011;-8,626520;3,231464;2,666747;-2,297505;-0,211434;0,000000;0,000000
06.02.2014;18:39:19;859,422924;-284,984416;76,830867;3,251625;7,609807;1,786235;-13,423093;4,758433;-1,658335;-0,756543;0,724231;0,000000;0,000000
07.02.2014;18:36:44;860,514874;-292,358243;78,124416;3,237471;4,474899;2,079356;-18,009447;6,377320;2,689999;-2,345707;-0,494409;0,000000;0,000000
10.02.2014;18:37:12;863,033782;-291,209993;76,894798;3,444680;8,380918;-2,419656;-17,361620;5,549189;3,471145;-0,664871;-0,182779;0,000000;0,000000
11.02.2014;18:39:03;866,519513;-293,762458;77,723890;3,437606;5,689708;-3,527837;-13,251865;4,477318;1,323578;-0,445642;1,070874;0,000000;0,000000
12.02.2014;18:39:46;867,325482;-292,227148;76,778690;3,586304;10,236840;1,929763;-17,128918;1,385373;3,330939;-0,577171;-0,551126;0,000000;0,000000
13.02.2014;18:38:03;874,213065;-296,543508;79,201884;3,506543;7,407687;-0,522096;-15,494269;4,082781;3,411090;-1,089017;0,106251;0,000000;0,000000
14.02.2014;18:32:09;869,119014;-301,217092;82,736947;3,154454;1,504882;2,090832;-1,406226;0,050643;1,208581;-1,831647;-1,163747;0,000000;0,000000
17.02.2014;18:34:15;869,559714;-305,340034;84,094030;3,132504;10,382313;-0,757990;-16,121257;2,626641;3,282159;-1,243772;-1,191585;0,000000;0,000000
18.02.2014;18:39:17;877,812613;-304,314944;84,327313;3,335464;12,224989;0,510848;-20,553595;1,870836;4,503636;0,599796;-0,495753;0,000000;0,000000
19.02.2014;18:38:07;883,556744;-307,704449;89,903422;2,938702;4,730802;4,091861;-12,140609;-0,190948;4,295099;0,871614;0,091000;0,000000;0,000000
20.02.2014;18:38:52;873,274165;-319,432362;94,467694;2,444409;0,019386;-2,464943;-7,867550;3,106115;3,022162;1,730579;0,509418;0,000000;0,000000
21.02.2014;18:39:19;876,911347;-312,232264;94,552017;2,757503;9,339939;-0,351429;-16,997857;4,811365;5,795368;-0,964179;-2,527579;0,000000;0,000000
24.02.2014;18:35:23;865,803921;-315,075667;96,523113;2,521337;2,124154;1,204762;-5,615583;2,486979;6,512135;-1,510503;-3,977290;0,000000;0,000000
25.02.2014;18:33:22;864,462728;-312,441439;97,540256;2,488049;7,618387;0,052578;-13,178432;4,364004;6,614690;-1,209503;-2,042271;0,000000;0,000000
26.02.2014;18:35:25;865,339752;-324,829968;101,573864;2,142808;0,988609;-3,872775;-9,598116;6,958621;2,270435;-2,216090;-0,191069;0,000000;0,000000
27.02.2014;18:38:53;867,364715;-329,634940;102,844614;2,084926;2,385352;-1,884780;-7,687946;5,120601;2,073878;-3,069067;1,441598;0,000000;0,000000
28.02.2014;18:38:35;866,470548;-327,707725;103,715101;2,180987;2,602811;-2,090369;-8,835439;7,641570;2,841371;-3,201373;-1,824823;0,000000;0,000000
03.03.2014;18:31:43;919,042432;-265,967555;92,327283;3,421805;27,115837;-5,383209;-16,137480;4,994106;8,072016;-2,008634;-5,302292;0,000000;0,000000
04.03.2014;18:34:20;905,175740;-265,223247;91,116813;3,423839;18,142562;-12,546067;-18,954734;10,421832;12,116576;-3,943834;-5,949226;0,000000;0,000000
05.03.2014;18:39:43;895,690572;-243,956736;85,844802;3,482581;3,021195;-4,663698;-5,607623;5,585740;12,655673;-4,043724;-5,288253;0,000000;0,000000
06.03.2014;18:39:02;897,025876;-244,409147;91,137329;2,938001;6,651842;-6,934920;-4,155170;12,060341;7,716632;-5,177334;-2,752671;0,000000;0,000000
07.03.2014;18:39:57;888,323110;-244,351832;94,726381;2,372072;1,430571;-18,279473;-5,435185;18,100630;3,504486;-6,487571;1,116091;0,000000;0,000000
11.03.2014;18:39:54;881,579934;-266,579244;104,826483;1,337800;-4,845282;-16,099040;-11,070528;15,978871;8,890435;-3,157310;0,852096;0,000000;0,000000
12.03.2014;18:39:47;916,932393;-314,552225;126,566926;0,965323;-1,943788;-7,715660;-2,481336;6,431611;9,349019;-1,095030;1,317936;0,000000;0,000000
13.03.2014;18:37:46;936,157348;-317,524789;138,917108;1,577189;9,283170;-19,261904;-8,578770;15,087311;12,266014;-1,120929;-1,700434;0,000000;0,000000
14.03.2014;18:39:54;954,912325;-308,452068;156,061431;1,354862;10,627285;-16,317468;-1,738640;18,014980;13,675783;-3,951789;-5,785307;0,000000;0,000000
17.03.2014;18:38:59;918,696877;-357,694144;162,036707;0,993665;-22,633013;-9,233068;-4,183778;3,151452;6,732067;-4,168685;0,385588;0,000000;0,000000
18.03.2014;18:39:51;908,971829;-418,889657;177,966295;0,842135;-6,494501;14,898337;-10,577323;-0,939447;4,845109;2,019980;-0,591247;0,000000;0,000000
19.03.2014;18:38:38;913,062208;-378,040076;175,295364;1,208638;3,836456;10,486415;-6,148058;6,198923;-0,568069;-4,619271;-1,657185;0,000000;0,000000
20.03.2014;18:39:34;923,101362;-321,667186;169,744536;1,398414;8,705765;13,604573;0,099221;0,996752;-2,865017;-4,836753;-4,652024;0,000000;0,000000
21.03.2014;18:35:24;936,711290;-317,620147;171,796884;1,522582;7,673573;-10,233875;10,691642;-1,729814;-2,955046;-4,309003;-5,214457;0,000000;0,000000
24.03.2014;18:38:56;927,597416;-289,373003;167,082850;1,945069;12,998213;-13,079305;3,405482;6,986957;-1,023735;-2,769334;-3,464124;0,000000;0,000000
25.03.2014;18:37:06;900,639818;-290,535141;164,200457;1,566323;-1,730103;-2,378725;-0,039555;5,961197;-11,183819;1,851332;1,121181;0,000000;0,000000
26.03.2014;18:39:57;891,129437;-301,400137;167,054703;1,534492;-1,409227;-13,887208;8,208196;-1,835473;-4,298273;3,586385;1,725073;0,000000;0,000000
27.03.2014;18:38:06;898,405719;-292,436951;162,589189;1,554512;0,093367;-4,599886;9,326552;-3,718281;-11,475980;4,238111;2,429139;0,000000;0,000000
28.03.2014;18:39:34;895,260526;-309,782629;160,959288;1,374375;-4,983135;-8,499092;14,200334;-11,493090;-8,775282;5,287483;3,059520;0,000000;0,000000
31.03.2014;18:38:14;876,392082;-301,455432;151,887484;1,433103;-0,143960;-2,809168;14,173859;-13,532636;-13,274171;0,961498;3,200579;0,000000;0,000000
01.04.2014;18:39:19;877,673389;-278,573011;143,160876;1,576763;3,818579;-6,432113;17,574596;-4,207213;-13,903604;0,011929;3,175405;0,000000;0,000000
02.04.2014;18:39:29;877,660900;-319,939580;142,495829;1,083890;-3,694624;-4,965701;13,034282;-14,840102;-16,265296;5,582892;9,436773;0,000000;0,000000
03.04.2014;18:37:17;873,585010;-331,067024;137,294324;0,872396;-4,175179;4,074423;7,228737;-18,326291;-15,288537;4,234473;8,269583;0,000000;0,000000
04.04.2014;18:37:48;861,465816;-349,823220;129,825777;0,726816;-9,561711;0,775398;7,756648;-17,049972;-13,277830;4,358572;7,826988;0,000000;0,000000
07.04.2014;18:39:52;876,498597;-342,053136;119,902370;0,779333;-5,316558;5,599814;7,898280;-23,505775;-20,063128;8,517384;10,275468;0,000000;0,000000
08.04.2014;18:39:53;864,613939;-347,221545;115,287600;0,669073;-2,060105;9,108675;2,352704;-26,708444;-14,894361;7,019504;8,535819;0,000000;0,000000
09.04.2014;18:37:20;870,282517;-325,847251;109,603153;0,780626;11,664961;16,875809;-1,550990;-22,393335;-17,680265;3,312512;7,507506;0,000000;0,000000
10.04.2014;18:38:54;881,626073;-296,021883;102,065095;1,302957;3,446456;20,320596;6,384611;-19,276940;-13,061176;2,466851;4,967053;0,000000;0,000000
11.04.2014;18:39:53;889,679040;-285,410206;96,647888;1,528084;-2,491232;11,263613;10,713884;-13,118186;-13,288881;2,834708;4,910775;0,000000;0,000000
14.04.2014;18:37:50;892,904150;-298,492913;92,922409;1,163412;-8,914471;8,352064;13,080076;-16,471335;-18,995121;4,399540;7,360031;0,000000;0,000000
15.04.2014;18:39:48;899,615646;-325,181857;87,426115;0,911710;-12,759038;8,094053;7,818489;-16,686248;-22,041372;9,972168;10,177268;0,000000;0,000000
16.04.2014;18:39:45;909,056697;-314,428938;81,896146;1,207913;0,011248;11,029621;6,979957;-14,740537;-15,229685;7,328013;5,393163;0,000000;0,000000
17.04.2014;18:38:49;916,522121;-298,109699;79,611921;1,617444;-0,020698;-5,508411;16,452541;-5,073271;-11,024649;1,700350;2,512649;0,000000;0,000000
18.04.2014;18:38:59;902,262005;-292,480269;77,377005;1,574677;-7,743547;1,378169;17,046734;-8,250698;-7,143239;2,050705;0,386262;0,000000;0,000000
21.04.2014;18:38:00;908,571480;-286,113601;76,232401;1,681672;-0,030310;0,029924;8,626471;-1,307449;-11,980569;4,158397;-0,021513;0,000000;0,000000
22.04.2014;18:36:36;907,874774;-296,528840;76,622070;1,467622;-1,763109;-4,338237;12,694988;-6,267715;-12,308218;4,887015;4,397784;0,000000;0,000000
23.04.2014;18:39:58;920,146778;-279,743502;73,244167;1,843688;4,454981;-5,401381;3,235926;3,087745;-6,417183;1,548253;1,919261;0,000000;0,000000
24.04.2014;18:38:47;933,214183;-288,104196;75,390973;1,783548;2,206278;-11,402720;3,319694;2,337013;-2,695730;0,751812;1,302615;0,000000;0,000000
25.04.2014;18:37:30;964,423867;-270,945042;76,458615;2,108230;8,872417;-21,188062;-13,641118;17,946971;-0,790656;0,704851;1,321974;0,000000;0,000000
28.04.2014;18:39:25;961,208367;-289,722019;86,430972;1,762916;16,360193;-19,673001;-9,620998;18,602689;2,401009;-2,762727;-3,773051;0,000000;0,000000
29.04.2014;18:38:29;946,879614;-297,335931;93,484205;1,542521;7,868595;-34,176230;-2,002295;15,475021;3,734246;-1,898746;-1,851275;0,000000;0,000000
30.04.2014;18:35:19;941,948393;-303,773640;97,601912;1,395865;7,765192;-29,190738;9,332688;9,066341;-2,568002;0,675243;1,844963;0,000000;0,000000
02.05.2014;11:36:32;946,654548;-295,571383;96,921761;1,412983;11,648584;-21,124039;13,658891;7,052335;-4,965797;0,231302;1,158989;0,000000;0,000000
05.05.2014;18:33:29;954,943909;-277,627560;95,883847;1,712313;9,165179;-18,264321;9,482173;6,701057;-5,529310;-0,993443;-0,453510;0,000000;0,000000
06.05.2014;18:39:35;941,377943;-275,695628;97,323236;1,623277;10,728457;-29,578386;12,588037;9,812041;-4,489474;-3,574346;-1,033268;0,000000;0,000000
07.05.2014;18:39:38;921,548241;-255,428082;96,303827;1,744428;14,653656;-11,403210;8,577100;12,181494;1,732034;-10,802395;-9,304984;0,000000;0,000000
08.05.2014;18:39:08;898,256903;-224,948284;86,761618;1,406078;-6,598314;15,106672;3,216549;-2,067989;-11,611519;-2,780366;2,410655;0,000000;0,000000
12.05.2014;18:35:36;888,837245;-213,882282;86,216197;1,159158;3,234542;9,318904;4,444555;-4,908023;-9,050138;-3,850162;1,516583;0,000000;0,000000
13.05.2014;18:39:37;890,786578;-185,735545;79,591321;1,927339;13,200315;-9,238150;3,044120;7,825907;-6,802275;-3,382866;0,878760;0,000000;0,000000
14.05.2014;18:35:40;876,963009;-194,940079;80,453259;1,145646;-1,168392;2,909672;2,875913;-4,921555;-8,375460;2,721620;2,785318;0,000000;0,000000
15.05.2014;18:38:56;862,558309;-229,474388;82,861206;0,676832;-7,935002;0,701315;-3,262217;-4,201709;-4,632575;5,048099;7,271056;0,000000;0,000000
16.05.2014;18:33:18;860,099615;-248,645905;88,213988;0,547923;-11,088309;1,993507;-5,069031;-3,061320;1,202684;5,697168;5,951354;0,000000;0,000000
19.05.2014;18:39:38;859,410205;-258,113572;93,414732;0,570652;-1,118980;3,797321;-6,414178;-2,742215;-0,495381;3,250326;5,339631;0,000000;0,000000
20.05.2014;18:39:40;850,662327;-233,151829;93,966923;0,449145;0,445503;8,312707;-13,339826;-9,834233;-2,787006;5,260801;5,606513;0,000000;0,000000
21.05.2014;18:39:31;844,611061;-282,127678;110,023471;0,394810;-6,220823;4,457119;-2,728262;-4,038720;-9,650066;0,404210;7,852752;0,000000;0,000000
22.05.2014;18:39:10;849,450111;-289,029584;112,956145;0,393028;-0,028537;9,714414;-8,777467;-11,929753;-10,388090;2,352734;6,842625;0,000000;0,000000
23.05.2014;18:38:13;840,714725;-316,888192;120,652327;0,373567;-8,556777;8,885367;-1,018229;-9,644422;-9,509032;2,244353;6,015967;0,000000;0,000000
26.05.2014;18:38:47;836,285669;-321,511540;132,866947;0,404111;1,223091;9,934545;-6,240226;-9,108835;-7,132638;1,970282;3,595576;0,000000;0,000000
27.05.2014;18:38:40;843,844119;-263,490902;142,433451;0,332594;11,438911;1,285967;-16,607405;-10,884490;-6,024559;4,022047;5,967363;0,000000;0,000000
28.05.2014;18:39:38;849,779729;-262,795681;143,749174;0,526080;5,452897;1,926959;-2,668057;-12,975359;-10,247816;3,436746;6,682241;0,000000;0,000000
29.05.2014;18:39:43;849,286767;-226,568613;134,509787;0,844421;7,094835;10,764827;-3,396003;-4,360524;-12,046650;-4,432493;3,879000;0,000000;0,000000
30.05.2014;18:39:11;844,228378;-205,771075;121,911788;0,695394;7,182194;6,873393;-5,482072;-7,736800;-21,017748;-4,941915;9,191944;0,000000;0,000000
02.06.2014;18:35:07;828,499712;-231,418513;121,529423;0,405723;-6,055422;1,155800;-2,577244;-5,311676;-11,046408;-1,065816;7,891234;0,000000;0,000000
03.06.2014;18:32:06;834,751338;-205,840250;118,687985;0,497392;18,462034;5,494674;-11,322250;-7,561811;-10,129069;-4,678120;4,239778;0,000000;0,000000
04.06.2014;18:30:44;827,662677;-197,610352;109,859413;0,355104;9,227659;-2,357998;-12,126407;-6,957971;-10,851651;-0,738053;6,484796;0,000000;0,000000
05.06.2014;18:39:31;822,419506;-171,631943;107,167652;0,495147;12,232855;2,893395;-6,627525;-9,426580;-10,679695;-0,403952;3,788677;0,000000;0,000000
06.06.2014;18:38:31;819,171222;-144,600050;90,743548;0,991540;4,632744;2,346431;1,465113;-1,255054;-12,213842;-9,888215;3,978492;0,000000;0,000000
09.06.2014;18:39:35;815,454793;-131,006033;77,129293;0,839795;0,404684;-2,050794;5,153252;-4,804265;-15,445897;-1,005958;6,271065;0,000000;0,000000
10.06.2014;18:38:04;828,215099;-117,264535;61,899627;1,515325;6,120875;-2,832688;-0,005976;3,738785;-16,420377;-6,462417;7,428798;0,000000;0,000000
11.06.2014;18:38:43;835,536888;-107,289108;49,068828;2,003549;17,407844;-6,780792;-0,546664;1,561762;-9,805439;-4,102101;3,284820;0,000000;0,000000
16.06.2014;18:32:02;849,964390;-116,015123;46,196923;2,137977;-6,142424;-0,972426;4,666586;5,014007;-13,167421;-3,782434;6,126000;0,000000;0,000000
17.06.2014;18:38:35;857,438840;-116,899049;41,375849;2,390052;1,404061;-0,032115;2,166394;1,450485;-14,282356;-4,093292;6,161292;0,000000;0,000000
18.06.2014;18:39:56;856,361453;-113,643053;31,707973;2,780761;0,536009;-1,859617;1,964242;5,899526;-8,674757;-3,418202;1,899631;0,000000;0,000000
19.06.2014;18:37:24;854,667718;-112,391506;23,731609;3,062916;0,073422;-0,451555;2,645068;4,405675;-8,277610;-4,135872;2,553594;0,000000;0,000000
20.06.2014;18:38:22;859,080061;-114,575754;22,161544;3,103604;-1,218909;-5,131464;0,269298;10,918171;-5,287987;-5,276218;2,649334;0,000000;0,000000
23.06.2014;18:39:12;858,149099;-112,859124;18,396636;3,228660;0,018101;0,009990;-1,038283;8,943410;-7,012682;-6,674134;1,628528;0,000000;0,000000
24.06.2014;18:39:18;849,437488;-111,398719;15,536555;3,289025;2,997482;-0,819321;-8,553995;14,562399;-2,437834;-4,401132;-0,131439;0,000000;0,000000
25.06.2014;18:38:19;845,880267;-111,062424;14,044468;3,311254;1,758613;-4,262767;-6,808159;13,610117;-3,074928;-2,881154;-0,623952;0,000000;0,000000
26.06.2014;18:39:42;844,199619;-111,459105;13,092340;3,318439;-1,235874;-6,237063;8,951146;7,336459;-6,383378;-2,017117;1,978578;0,000000;0,000000
27.06.2014;18:36:36;845,222196;-108,182065;11,421451;3,372099;0,173749;-1,765597;3,190398;8,467796;-7,701081;-3,178038;2,085378;0,000000;0,000000
30.06.2014;18:39:51;848,176122;-115,555721;15,538266;3,202232;-7,126391;2,505669;5,389434;8,840590;-6,425495;-2,409627;1,174023;0,000000;0,000000
01.07.2014;18:39:53;854,223878;-117,774108;17,216601;3,127898;-6,927781;-7,111384;11,184684;14,030096;-13,598361;-2,186705;3,445843;0,000000;0,000000
02.07.2014;18:32:38;846,757079;-121,012954;20,867444;2,910994;-10,890364;0,440286;3,205996;11,303855;-2,882643;-2,559004;0,569322;0,000000;0,000000
03.07.2014;18:34:02;846,100727;-130,125088;28,498866;2,407423;-18,581055;1,763990;14,409696;5,141114;-5,394308;-1,939908;1,071430;0,000000;0,000000
04.07.2014;18:37:56;844,621010;-139,614273;33,935570;1,844371;-27,217639;6,542606;20,313131;3,943768;-13,462232;-2,640044;4,015884;0,000000;0,000000
07.07.2014;18:35:43;827,859445;-156,293072;39,071814;0,643795;-13,114092;11,724474;2,775017;-6,746663;-12,411697;0,612420;3,855253;0,000000;0,000000
08.07.2014;18:38:04;821,889733;-164,733532;38,963330;0,509070;-5,131903;6,530271;-3,373296;-7,633490;-9,973385;-0,473502;5,339638;0,000000;0,000000
09.07.2014;18:39:47;821,513759;-169,478198;39,765416;0,412191;-2,684653;5,183259;-3,374227;-5,869804;-8,735947;-0,635369;6,211709;0,000000;0,000000
10.07.2014;18:39:35;827,991416;-155,141990;36,772259;0,451193;2,124744;4,526965;-7,221551;-6,975563;-8,401051;1,397428;6,261831;0,000000;0,000000
11.07.2014;18:39:54;829,080222;-154,236366;36,053159;0,357469;-0,110788;8,394235;-12,662688;-9,459982;-7,131355;2,607676;6,825555;0,000000;0,000000
14.07.2014;18:36:31;837,076908;-146,764525;34,403052;0,489112;1,329886;5,764009;-8,810368;-6,909471;-8,957529;-0,791603;7,144794;0,000000;0,000000
15.07.2014;18:39:39;838,897197;-139,719001;32,273991;0,484917;3,213975;8,080568;-7,065682;-10,162535;-11,358585;-1,347561;6,823262;0,000000;0,000000
16.07.2014;18:39:39;850,466975;-115,660385;25,338647;1,032965;-2,268955;16,362480;-4,714557;-7,131793;-10,264449;-2,385966;5,179629;0,000000;0,000000
17.07.2014;18:39:33;868,333910;-138,056437;28,123618;0,633306;-3,670494;14,804700;-12,499072;-4,474805;-4,259677;1,782691;3,332564;0,000000;0,000000
18.07.2014;18:39:40;871,421022;-122,965691;24,193341;1,038132;-4,975493;9,110969;-9,308072;3,968946;-2,701120;0,811070;2,537857;0,000000;0,000000
21.07.2014;18:39:36;894,744227;-129,768991;23,433167;0,937043;-0,492402;-3,604450;7,447444;2,722324;-14,049714;-1,368818;4,930458;0,000000;0,000000
22.07.2014;18:39:53;878,795867;-148,390250;24,217342;0,490428;-6,248532;4,678814;-0,498302;-4,216642;-8,359784;-2,558998;5,365845;0,000000;0,000000
23.07.2014;18:39:50;875,192211;-136,147686;21,985700;0,621369;1,170389;3,557930;-0,503800;-5,315959;-8,791367;-1,476981;4,224282;0,000000;0,000000
24.07.2014;18:36:54;877,468249;-145,660821;22,092476;0,597658;-4,557757;1,286827;-2,205752;-1,525028;-6,526508;-0,544704;4,547793;0,000000;0,000000
25.07.2014;18:39:53;889,754675;-179,065837;28,817540;0,351435;-10,382053;1,638502;4,978326;2,655530;-5,943871;-2,798948;3,428569;0,000000;0,000000
28.07.2014;18:39:25;898,685836;-165,386168;33,028347;0,385037;0,482476;1,413673;-8,808887;8,802293;-1,328145;-3,235593;1,799005;0,000000;0,000000
29.07.2014;18:39:44;913,231892;-152,122794;39,463952;0,486204;1,315049;-2,806749;0,901290;6,615885;5,079199;-1,398984;-2,529153;0,000000;0,000000
30.07.2014;18:36:05;914,386739;-120,445942;40,717192;1,119824;12,785056;-8,627356;-1,491651;11,040062;8,210947;-4,898877;-6,921411;0,000000;0,000000
31.07.2014;18:39:00;914,757997;-130,227822;49,135914;1,085914;2,936185;-9,326718;-3,086483;13,586838;8,745183;-1,978320;-3,807292;0,000000;0,000000
01.08.2014;18:39:52;920,634231;-141,939484;58,968613;1,073407;-0,346586;-25,194667;3,407611;12,041603;9,411300;1,213017;-1,763586;0,000000;0,000000
04.08.2014;18:38:42;926,560139;-158,961847;68,434494;0,935363;-2,126125;-12,199707;0,632620;10,139231;8,377927;1,617087;-1,040473;0,000000;0,000000
05.08.2014;18:37:24;932,200034;-187,845185;77,511977;0,736837;-5,022504;-1,963442;-4,090355;7,030874;9,808368;0,998125;-3,031686;0,000000;0,000000
06.08.2014;18:38:33;949,165717;-194,344928;95,579046;1,004532;0,184114;-12,748640;2,222834;13,204623;8,357698;0,674464;-3,765753;0,000000;0,000000
07.08.2014;18:36:18;950,003541;-198,325991;114,138874;1,134329;2,249229;-5,235338;-7,580098;19,197422;12,649831;-3,024680;-6,735384;0,000000;0,000000
08.08.2014;18:38:25;948,988834;-216,339794;140,261371;1,279184;3,373300;-20,148466;-0,033252;18,599040;9,875805;-1,623492;-4,696972;0,000000;0,000000
11.08.2014;18:39:20;928,886792;-216,829659;140,280239;1,010797;-0,801247;-4,682407;1,898230;6,390544;5,247774;-9,218235;-5,235159;0,000000;0,000000
12.08.2014;18:39:50;918,808559;-208,269949;144,088960;1,101644;-0,049229;-4,061237;-0,084737;12,075078;-4,259221;-5,379616;-1,857161;0,000000;0,000000
13.08.2014;18:39:36;915,611610;-183,165915;145,183692;1,303530;2,138948;-1,492167;-6,278120;11,459392;1,693457;-3,950777;-2,819207;0,000000;0,000000
14.08.2014;18:39:04;905,819385;-180,005011;148,831273;1,261695;3,107957;-5,726971;-0,216401;9,660830;-0,887429;-2,700217;-2,622408;0,000000;0,000000
15.08.2014;18:39:04;896,972164;-144,703437;148,215858;1,676832;15,784225;-7,623096;1,083881;11,432575;-3,942761;-7,925767;-5,374389;0,000000;0,000000
18.08.2014;18:29:18;895,837375;-142,565766;153,041089;1,700526;5,977525;-17,659851;0,756963;13,616508;-0,928438;-2,178502;-1,769896;0,000000;0,000000
19.08.2014;18:38:11;902,049273;-135,799393;159,531408;1,867011;13,017394;-12,146586;-16,007002;23,400492;-0,011167;-5,806768;-4,820602;0,000000;0,000000
20.08.2014;18:39:19;896,274402;-137,708736;165,207451;1,842843;2,238489;-12,096050;-11,538697;14,985923;-0,174695;-1,508484;-1,907759;0,000000;0,000000
21.08.2014;18:39:39;895,577485;-150,482335;172,271036;1,694391;0,011767;0,621702;-6,227229;6,293935;-1,821789;-3,001893;-2,351355;0,000000;0,000000
22.08.2014;18:39:41;897,159920;-186,602936;188,156770;1,301713;-6,643383;-4,788391;-6,473132;12,384488;3,598996;-1,343282;-1,066851;0,000000;0,000000
25.08.2014;18:39:02;896,891698;-201,742490;193,400760;1,256514;-7,845728;0,439451;-7,965570;7,609338;5,667664;-0,489958;-0,777085;0,000000;0,000000
26.08.2014;18:39:58;899,731857;-210,293284;198,443893;1,122464;-2,095077;1,848138;-8,444835;5,178539;0,038334;-0,445170;-0,596846;0,000000;0,000000
27.08.2014;18:39:01;901,245183;-197,201698;199,212248;1,264414;1,176210;-1,549107;-2,378333;8,896534;-2,774484;-2,936675;-2,772188;0,000000;0,000000
28.08.2014;18:38:43;923,794925;-179,401375;211,247807;1,554637;3,686024;-12,528803;-4,030827;14,573681;6,443288;-0,060936;-2,863290;0,000000;0,000000
29.08.2014;18:39:56;929,543953;-153,195450;215,431277;1,571802;-0,028153;6,552151;-12,798629;14,753308;3,790067;-3,398605;-2,664697;0,000000;0,000000
01.09.2014;18:39:37;934,533915;-176,949333;231,823303;1,263819;-3,555506;25,038229;-20,770281;5,435735;5,502221;-3,631492;-3,765620;0,000000;0,000000
02.09.2014;18:39:35;932,848839;-195,661697;242,496138;1,319450;-6,658343;5,767484;-15,576900;15,384773;8,506244;2,821531;-0,881836;0,000000;0,000000
03.09.2014;18:39:57;905,794236;-211,145895;250,377144;1,107211;-2,851265;-0,923909;-2,716661;11,544407;-3,304399;-1,183117;2,968214;0,000000;0,000000
04.09.2014;18:36:46;902,470431;-174,116332;242,883350;1,377671;2,133089;-9,487933;2,161979;8,826606;-3,633169;-3,661451;1,048849;0,000000;0,000000
